sequence,labels
Adjust work schedule in order to maintain permanent shift operation.,Others Skills
"Analyse the ability of products to endure stress imposed by temperature, loads, motion, vibration and other factors, by using mathematical formulas and computer simulations.",Digital Skills
Apply mathematical methods and make use of calculation technologies in order to perform analyses and devise solutions to specific problems.,Technological Skills
Create rough pictures to assist in creating and communicating design concepts.,Others Skills
Data entry software.,Digital Skills
"Draft sketches and design electromechanical systems, products, and components using Computer Aided Design (CAD) software and equipment.",Digital Skills
Ensure operative processes are finished at a previously agreed-upon time.,Others Skills
"Ensure that the necessary equipment is provided, ready and available for use before start of procedures.",Others Skills
"Estimate the expected input in terms of time, human and financial resources necessary to achieve the project objectives.",Others Skills
"Estimate the operating cost in terms of manpower, consumables and maintenance.",Others Skills
"Gather, assess and represent data about target market and customers in order to facilitate strategic development and feasibility studies. Identify market trends.",Digital Skills
"Guarantee compliance with established and applicable standards and legal requirements such as specifications, policies, standards or law for the goal that organisations aspire to achieve in their efforts.",Others Skills
"Hire new employees by scoping the job role, advertising, performing interviews and selecting staff in line with company policy and legislation.",Others Skills
Lead and manage according to the organisation's code of conduct.,Personal Skills
"Maintain records of the progress of the work including time, defects, malfunctions, etc.",Others Skills
"Make use of various types of communication channels such as verbal, handwritten, digital and telephonic communication with the purpose of constructing and sharing ideas or information.",Others Skills
"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer.",Others Skills
"Register, follow-up, solve and respond to customer requests, complaints and after-sales services.",Social Skills
"Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require.",Social Skills
Take action on the goals and procedures defined at a strategic level in order to mobilise resources and pursue the established strategies.,Personal Skills
Understanding the implications of new information for both current and future problem-solving and decision-making.,Personal Skills
"Use computer-aided design (CAD) systems to assist in the creation, modification, analysis, or optimisation of a design.",Digital Skills
Use computer-aided design and drafting software to make detailed drawings and blueprints of designs.,Digital Skills
Use computer-aided engineering software to conduct stress analyses on engineering designs.,Digital Skills
"Use diagnostic equipment to perform test on motor vehicles, components and systems to detect defects.",Technological Skills
Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,Digital Skills
"Write records of the repairs and maintenance interventions undertaken, of parts and materials used, and other repair facts.",Others Skills
Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.,Others Skills
Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.,Social Skills
"Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury.",Social Skills
Advise the visited industrial plants on how to better oversee production to ensure that the manufacturing problems are correctly diagnosed and solved.,Personal Skills
Analyse production processes leading toward improvement. Analyse in order to reduce production losses and overall manufacturing costs.,Thinking Skills
"Analyse the principles that need to be considered for engineering designs and projects such as functionality, replicability, costs and other principles.",Thinking Skills
"Apply motor oil to engines to lubricate internal combustion engines in order to reduce wear, to clean and to cool the engine.",Others Skills
Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.,Technological Skills
Arrange goods in attractive and safe way. Set up a counter or other display area where demonstrations take place in order to attract the attention of prospective customers. Organise and maintain stands for merchandise display. Create and assemble sales spot and product displays for sales process.,Others Skills
"Communicates production plan to all levels in a way that targets, processes, and requirements are clear. Ensures that information is passed to everyone involved in the process assuming their responsibility for overall success.",Social Skills
Coordinate all export transportation operations while considering export strategies and services.,Personal Skills
Create a mathematical or three-dimensional computer graphic model of the product by using a CAE system or a calculator.,Technological Skills
"Develop, document and implement traffic and workflow processes across the company for different functions. Liaise with several departments and services such as account management and the creative director to plan and resource work.",Others Skills
"Ensure a high standard of safety and quality in facilities, systems, and workers' behaviour. Ensure adherence to procedures and audit standards. Ensure that machinery and appliances in the production plant are appropriate for their task.",Others Skills
Ensure compliance with airport security measures prior to the boarding of planes.,Others Skills
"Ensure that goods are labeled with all necessary labeling information (e.g. legal, technological, hazardous and others) regarding the product. Ensure that labels respects the legal requirements and adhere to regulations.",Others Skills
"Evaluate and identify staffing gaps in quantity, skills, performance revenue and surpluses.",Others Skills
"Evaluate the need for labour for the work ahead. Evaluate the performance of the team of workers and inform superiors. Encourage and support the employees in learning, teach them techniques and check the application to ensure product quality and labour productivity.",Social Skills
Follow up on the maintenance and repairs to be carried out. Solve minor problems and pass harder problems on to the person responsible for maintenance.,Personal Skills
Identify shoplifters and methods by which shoplifters try to steal. Implement anti-shoplifting policies and procedures to protect against theft.,Others Skills
Inspect plants where motor vehicles are manufactured to ensure safety and quality control. Ensure that components are manufactured in compliance with safety and design specifications.,Social Skills
Keep firefighting vehicles ready for use at any time. Maintain all aspects of firefighting vehicles and ensure that vehicles function correctly.,Others Skills
"Keep sweepers, mowers, and other airport maintenance equipment ready for use in order to remove contaminants from aircraft operating areas and to ensure the height of grass on unpaved areas meets regulations.",Others Skills
Keep the store tidy and clean by hovering and mopping.,Others Skills
Lead and guide employees through a process in which they are taught the necessary skills for the perspective job. Organise activities aimed at introducing the work and systems or improving the performance of individuals and groups in organisational settings.,Personal Skills
Manage airport workshops to organise operations and ensure completion of all necessary tasks. Prepare maintenance activities according to the requirements and needs of the airport.,Others Skills
"Manage employees and subordinates, working in a team or individually, to maximise their performance and contribution. Schedule their work and activities, give instructions, motivate and direct the workers to meet the company objectives. Monitor and measure how an employee undertakes their responsibilities and how well these activities are executed. Identify areas for improvement and make suggestions to achieve this. Lead a group of people to help them achieve goals and maintain an effective working relationship among staff.",Personal Skills
Manage the licences of vehicles that are permitted to operate inside airports. Know the specifications of these vehicles and ensure they meet licencing requirements.,Others Skills
"Measure the size of a processed part when checking and marking it to check if it is up to standard by use of two and three dimensional precision measuring equipment such as a caliper, a micrometer, and a measuring gauge.",Others Skills
"Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices.",Others Skills
Monitor and assure the quality of the provided goods or services by overseeing that all the factors of the production meet quality requirements. Supervise product inspection and testing.,Others Skills
"Monitoring and maintaining effective cost controls, in regards to efficiencies, waste, overtime and staffing. Assessing excesses and strives for efficiency and productivity.",Others Skills
Operate testbeds which are designed to assist in the process of testing new equipment or engines. Control testbeds to facilitate the testing of engines or machinery under maintenance conditions.,Technological Skills
Oversee fuel deliveries to service station.,Others Skills
